EPC,Article,Fixture
0861DA70DABAD989D6EA7D1D7FD83C9C619322DF,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
6069F43F42D3AB93B842AD402E879C6AB1CCEA55,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
2972D885FD2E209E202FD39960063C81893D6E89,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
64C9597FD6ECAFCD8441BB678E8CF34D8FD5BB1B,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
A077F4A30630AAC465A725DCAF72C70A42439E4C,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
DB99670277EA8FABEE4D3BBF13A8830BF5B913E1,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
C1DF66297E1DBDEFCC3C245FAA2CEB58E3345FD8,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
DC82B64BBC74221050EA1126C4BC1A4BE7CFD227,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
F96289E227D8E3729378498CA3787E9BB0462FDF,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
AE745F138AE63809CB95B2F86BCCBE4A67345141,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
42D07A6073A7F23FBC51495E9CBA6306CE98C6DD,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
104A0CAE37E7B706890EE476290BDE03D427F373,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
D2568758A05B9A44ACFFF7FD07853EE0636A4C64,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
71AF0F767A12BE547EBABE8019F65487E8B9D24C,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
B690E24F647129AFB9F31B1FCFCB051AF3EF8013,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
BB4C9C3A013D38E8B4807FB55503C3F6E1AED5ED,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
BCAA66BB071881AC5E5591A4FA3A1EB7658185E6,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
17E4699DFF28EF743358F4E25B06ACB6B47AC30A,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
E1CA9D43354F041124940140F9B8610C58346B4E,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
9A1BA2B06F0AC3509D488EAEE32B0D918DF5DA45,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
57AE86E97FC71BC42774B2316F83479D9A0CBFCF,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
14A9EC45216F27F78837DEC24B1F8085E03B8C25,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
A628F30B994C32EC9ED8C6E11DB16D6EBAD315D8,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
7B3E1053A115CD253EAD5EB614E1A416C6F31B0B,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
37359CEB24E9F454F9660D5F2DAC4D82B3E10F66,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
9002A4F45570088BEB509FC78E2EFE756BF6FE1B,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
722E455652D9A47196913C56ABC01946E91E576C,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
E9548FA7B895BBFD4A2154CC419B72C80AC15CD6,17BA0791499DB908433B80F37C5FBC89B870084B,8
EE3FEDFD0D2897C2D2E5EF0F00063279B6A16EB8,17BA0791499DB908433B80F37C5FBC89B870084B,8
C7AB44C1D143578BC960F450C29F26FB00097B9E,17BA0791499DB908433B80F37C5FBC89B870084B,8
A0A471E60AE1E6C45A940874BE14C7ABEAB82F51,17BA0791499DB908433B80F37C5FBC89B870084B,8
1259C2F634AFEAAD9F5A6DBFAD6E25CC257FB1E0,17BA0791499DB908433B80F37C5FBC89B870084B,8
16E8ED96B6B0AD8350864660D143585E24C72E08,17BA0791499DB908433B80F37C5FBC89B870084B,8
AC8D18ADF2BFABB37B547A0FF585507C235FEB5A,17BA0791499DB908433B80F37C5FBC89B870084B,8
6338097BED92FC83BE6F8A9CB000C17BF02E4BA9,17BA0791499DB908433B80F37C5FBC89B870084B,8
