EPC,Article,Fixture
AF1F861FD84FE23CE733E7E98490E6A31617D864,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
A022EF6B64CF0C10E5DCEC68A256C40B44AF9F1B,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
5AC7DF86212F5836DB00DA3194F8C3D1499B6B0C,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
E1F63043EBCC0D4889DDD635ED749809A6BE0708,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
4C31AB1EF75244BB46483B79F0E6CAAF2E4D0D95,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
2038A5D26EC32328621F8203F16645290BF5C64C,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
889F15494842E2A52113F69DD859D95F492E7BE1,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
BC5DE64272ED001DFFBCE725EACE08EFB60BEAB7,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
374E2455C8429ABFADC04223165E8EE82F58B7FA,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
7983651ABB3461C715298466247C17ED67E94CD1,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
50946FFB0904F3318E5515253AE3042B1539C6C3,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
F54B1C7B6E2CB368B78630976CC0C0ACA4671443,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
63432B8B96BB4EA29244F5F3BD2888BD1CE33CE5,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
BC2A04CAA8E60889FBC231CE7795E2112C8FFD78,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
0D76A61FD5DC66BB9D860E680D72E1A79322BF8F,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
811E79D49C4ED38693E074A5A996ACCE040C3D6A,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
39A202FCE07B6D96F2D5284C582F6081FB2AC942,3D1B4E55CBBB1EAF42E3D209ADA91EFB0A86464A,10
FA9448E3728C642F1FF8D012B311529172D18EDC,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
6B12C95175D090AAC877CFD4E931A800E3518D7F,3D1B4E55CBBB1EAF42E3D209ADA91EFB0A86464A,10
A3F03BA14D2B1E3BF3BDBE47FDA2A253CFDD753B,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
B52EFFB9E122FC5D349DF516D50A4832640BC02D,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
7C980C25F40AFBEE42AEEFFF24371D9DB4A61FE2,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
8AEC48BBBBCDF7032A66DA1A8F3AA8B410EF6850,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
1E3E1B92229570DAFDBDBC05EC914A09FAB7F713,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
58EA50F104F02271A15A1ED76CD5E4774EA9BAFC,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
AF08084EF64AF61C1D09E08A9CCEF7E77A120470,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
A37F0136ED0501965D441B0B3FF38234B40FEC21,CC20BBF36ABC31F80567BB280B4C5934874FAE4E,10
6855FA4FD5F367BE038261E34408DDE95DD524B7,CC20BBF36ABC31F80567BB280B4C5934874FAE4E,10
EA1F2D1DE4D949BB75093496B798C85CCCDECEA2,CC20BBF36ABC31F80567BB280B4C5934874FAE4E,10
33332ABDE690CAD5C8BC4E67CB00929267C8327A,CC20BBF36ABC31F80567BB280B4C5934874FAE4E,10
25333CBB9F5D14A4B9E4B5D94679A5A58A5BAE89,CC20BBF36ABC31F80567BB280B4C5934874FAE4E,10
BCA0E801F2D13625BC02C8BFA39BF83155DDDAB9,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
76D4492781D17661864E32C1DB6DA142093F69F6,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
7C2CFA5673CECB756F67A0FF5B4DAF13A3D9D164,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
